Age,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,mental_health_consequence,coworkers,supervisor,obs_consequence,Gender_Cleaned,benefits_n,care_n,wellness_n,help_n,anon_n,leave_n,support_score,state_full,remote_n,tech_n,self_n,size_n,consequence_n
37,No,No,Yes,Often,6-25,No,Yes,No,Some of them,Yes,No,Female,1.0,0.5,0.0,1.0,1.0,0.75,4.25,Illinois,0,1,0,2,0
44,No,No,No,Rarely,More than 1000,No,No,Maybe,No,No,No,Male,0.5,0.0,0.5,0.5,0.5,0.5,2.5,Indiana,0,0,0,6,1
31,No,No,No,Never,100-500,Yes,Yes,No,Some of them,Yes,No,Male,1.0,0.0,0.5,0.5,0.5,0.5,3.0,Texas,1,1,0,4,0
33,No,Yes,No,Sometimes,6-25,No,Yes,No,Yes,Yes,No,Male,1.0,0.5,0.0,0.5,0.5,0.5,3.0,Tennessee,0,1,0,2,0
35,No,Yes,Yes,Sometimes,1-5,Yes,Yes,Maybe,Some of them,No,No,Female,0.0,0.0,0.0,0.0,0.0,0.25,0.25,Michigan,1,1,0,1,1
42,No,Yes,Yes,Sometimes,100-500,No,Yes,Maybe,Yes,Yes,No,Female,1.0,1.0,0.0,0.0,0.0,0.0,2.0,Illinois,0,1,0,4,1
31,No,No,Yes,Sometimes,6-25,Yes,Yes,No,Some of them,Yes,No,Male,0.5,0.0,0.0,0.0,0.5,0.5,1.5,Ohio,1,1,0,2,0
42,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,Yes,Yes,Female,1.0,1.0,0.0,0.0,0.5,0.25,2.75,California,0,0,0,3,2
36,No,Yes,No,Never,500-1000,No,Yes,No,Yes,Yes,No,Male,0.5,0.5,0.0,0.5,0.5,0.5,2.5,Connecticut,0,1,0,5,0
29,No,Yes,Yes,Rarely,26-100,No,Yes,No,Yes,Some of them,No,Female,1.0,0.5,0.0,0.0,0.5,0.75,2.75,Illinois,0,1,0,3,0
32,No,No,Yes,Sometimes,6-25,No,Yes,Maybe,Some of them,Yes,No,Male,1.0,1.0,0.0,0.5,0.5,0.5,3.5,Tennessee,0,1,0,2,1
46,Yes,Yes,No,Sometimes,1-5,Yes,Yes,No,Yes,Yes,Yes,Male,1.0,0.5,1.0,0.5,1.0,1.0,5.0,Maryland,1,1,1,1,0
29,No,Yes,Yes,Sometimes,100-500,No,Yes,Maybe,Some of them,Some of them,No,Male,1.0,1.0,0.0,0.0,0.0,0.25,2.25,New York,0,1,0,4,1
31,Yes,No,No,Never,1-5,Yes,Yes,No,Some of them,Some of them,No,Male,0.0,0.0,0.0,0.0,1.0,0.25,1.25,North Carolina,1,1,1,1,0
46,No,No,Yes,Often,26-100,Yes,Yes,Maybe,Some of them,Yes,No,Male,1.0,1.0,0.0,0.0,0.5,0.5,3.0,Massachusetts,1,1,0,3,1
41,No,No,Yes,Never,More than 1000,No,No,Maybe,No,No,No,Male,0.5,0.0,0.0,0.5,0.5,0.5,2.0,Iowa,0,0,0,6,1
33,No,Yes,Yes,Rarely,26-100,No,Yes,No,Yes,Yes,No,Male,1.0,0.5,0.5,1.0,1.0,0.5,4.5,California,0,1,0,3,0
35,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Some of them,Yes,No,Male,1.0,1.0,0.0,0.5,0.0,1.0,3.5,Tennessee,0,0,0,6,2
33,No,No,No,Don't know,1-5,No,Yes,Maybe,Some of them,No,No,Male,0.5,0.5,0.0,0.5,0.5,0.5,2.5,Tennessee,0,1,0,1,1
35,No,Yes,Yes,Rarely,6-25,Yes,Yes,No,Yes,Yes,No,Female,1.0,1.0,0.5,0.5,0.5,0.5,4.0,California,1,1,0,2,0
34,No,No,Yes,Sometimes,26-100,Yes,Yes,No,Some of them,No,No,Male,0.5,0.5,0.0,0.5,0.5,0.25,2.25,Ohio,1,1,0,3,0
